Customer_ID,Complaint_Date,State,City,Customer_Segment,Complaint_Flag,Complaint_Category,Complaint_Status,Resolution_Time_Hours,Customer_Satisfaction,NPS_Score
AIR100001,2025-02-15,Telangana,Telangana City 3,Prepaid,0,Call Drops,No Complaint,23.7,3.71,33
AIR100002,2025-03-15,Delhi,Delhi City 2,Prepaid,1,Slow Internet,Pending,1,3.56,28
AIR100003,2025-04-15,West Bengal,West Bengal City 3,Postpaid,1,Network Issues,Resolved,17.1,3.49,25
AIR100004,2025-05-15,Kerala,Kerala City 1,Enterprise,0,Slow Internet,No Complaint,9.5,4.4,47
AIR100005,2025-06-15,Telangana,Telangana City 2,Postpaid,0,Network Issues,No Complaint,2.9,3.31,-17
AIR100006,2025-07-15,Uttar Pradesh,Uttar Pradesh City 3,Broadband,1,Network Issues,Resolved,4.1,3.99,54
AIR100007,2025-08-15,Maharashtra,Maharashtra City 3,Prepaid,1,Billing Issues,Resolved,15,2.95,18
AIR100008,2025-09-15,Telangana,Telangana City 2,Prepaid,1,Call Drops,Resolved,20.4,3.26,16
AIR100009,2025-10-15,West Bengal,West Bengal City 3,Postpaid,0,Slow Internet,No Complaint,7,3.93,42
AIR100010,2025-11-15,Kerala,Kerala City 3,Postpaid,0,Network Issues,No Complaint,14.7,3.51,16
AIR100011,2025-12-15,Delhi,Delhi City 1,Prepaid,0,Slow Internet,No Complaint,10.4,2.95,-24
AIR100012,2025-02-15,West Bengal,West Bengal City 1,Broadband,0,Slow Internet,No Complaint,32.4,3.66,21
AIR100013,2025-03-15,West Bengal,West Bengal City 1,Prepaid,1,Slow Internet,Resolved,12.3,3.51,23
AIR100014,2025-04-15,Maharashtra,Maharashtra City 1,Prepaid,0,Call Drops,No Complaint,19,4.13,18
AIR100015,2025-05-15,Gujarat,Gujarat City 1,Postpaid,0,Network Issues,No Complaint,6.9,2.86,-16
AIR100016,2025-06-15,Kerala,Kerala City 1,Postpaid,0,Network Issues,No Complaint,2.7,3.82,23
AIR100017,2025-07-15,Karnataka,Karnataka City 2,Prepaid,0,Call Drops,No Complaint,7.5,3.27,-1
