Customer_ID,Report_Date,State,City,Network_Type,Network_Availability_Pct,Download_Speed_Mbps,Call_Drop_Rate_Pct,Latency_ms,Network_Downtime_Min,Complaint_Flag,Customer_Satisfaction
AIR100001,2025-02-15,Telangana,Telangana City 3,4G,98.64,39.74,1.12,31.4,61,0,3.71
AIR100002,2025-03-15,Delhi,Delhi City 2,5G,99.62,136.32,0.86,16,101,1,3.56
AIR100003,2025-04-15,West Bengal,West Bengal City 3,5G,98.75,158.25,0.83,21.4,113,1,3.49
AIR100004,2025-05-15,Kerala,Kerala City 1,5G,98.76,147.46,0.68,15.9,56,0,4.4
AIR100005,2025-06-15,Telangana,Telangana City 2,4G,99.1,54.07,0.44,39,96,0,3.31
AIR100006,2025-07-15,Uttar Pradesh,Uttar Pradesh City 3,4G,98.65,47.18,0.72,46.7,82,1,3.99
AIR100007,2025-08-15,Maharashtra,Maharashtra City 3,4G,98.52,53.23,0.64,41.7,122,1,2.95
AIR100008,2025-09-15,Telangana,Telangana City 2,4G,96.27,53.42,1.19,34.4,73,1,3.26
AIR100009,2025-10-15,West Bengal,West Bengal City 3,4G,99.16,35.58,1.45,28.6,48,0,3.93
AIR100010,2025-11-15,Kerala,Kerala City 3,4G,98.58,40.6,0.64,33.3,118,0,3.51
AIR100011,2025-12-15,Delhi,Delhi City 1,4G,99.21,30.35,1.79,34.2,68,0,2.95
AIR100012,2025-02-15,West Bengal,West Bengal City 1,4G,97.25,38.42,1.39,53,133,0,3.66
AIR100013,2025-03-15,West Bengal,West Bengal City 1,4G,98.72,41.29,0.62,23.6,44,1,3.51
AIR100014,2025-04-15,Maharashtra,Maharashtra City 1,5G,99.58,124.08,0.47,28.8,52,0,4.13
AIR100015,2025-05-15,Gujarat,Gujarat City 1,4G,95.46,53.41,0.95,36.9,59,0,2.86
AIR100016,2025-06-15,Kerala,Kerala City 1,5G,99.99,150.61,0.37,12.8,75,0,3.82
AIR100017,2025-07-15,Karnataka,Karnataka City 2,4G,98.2,30.87,0.85,38,91,0,3.27
AIR100018,2025-08-15,West Bengal,West Bengal City 1,4G,97.43,73.36,1.08,47.9,66,1,3.4
AIR100019,2025-09-15,Gujarat,Gujarat City 3,4G,98.58,48.69,0.82,46.4,73,0,3.38
AIR100020,2025-10-15,Karnataka,Karnataka City 2,5G,99.35,238.97,0.56,9.2,74,0,3.56
AIR100021,2025-11-15,Kerala,Kerala City 3,4G,97.68,35.81,0.98,44.1,74,0,3.59
AIR100022,2025-12-15,Tamil Nadu,Tamil Nadu City 1,5G,99.4,66.51,0.79,5,49,0,3.64
AIR100023,2025-02-15,Uttar Pradesh,Uttar Pradesh City 1,4G,96.87,43.44,1.64,35.7,21,0,3.51
AIR100024,2025-03-15,Gujarat,Gujarat City 3,4G,98.55,46.99,1.07,61.3,82,0,2.64
AIR100025,2025-04-15,Rajasthan,Rajasthan City 3,5G,99.87,151.53,0.26,19.4,99,1,3.93
AIR100026,2025-05-15,Tamil Nadu,Tamil Nadu City 3,4G,98.1,29.72,1.14,39.7,82,0,3.3
AIR100027,2025-06-15,Uttar Pradesh,Uttar Pradesh City 2,5G,98.25,148.77,0.85,23.9,59,1,3.62
AIR100028,2025-07-15,Maharashtra,Maharashtra City 1,4G,98.79,49.09,0.66,44,28,1,3.31
AIR100029,2025-08-15,Telangana,Telangana City 3,4G,98.32,53.42,1.32,32.4,97,0,3.16
AIR100030,2025-09-15,Delhi,Delhi City 1,5G,99.37,135.55,0.51,13.6,60,0,4.22
