Customer_ID,Report_Date,State,City,Network_Type,Network_Availability_Pct,Download_Speed_Mbps,Upload_Speed_Mbps,Latency_ms,Call_Drop_Rate_Pct,Network_Downtime_Min
AIR100001,2025-02-15,Telangana,Telangana City 3,4G,98.64,39.74,16.16,31.4,1.12,61
AIR100002,2025-03-15,Delhi,Delhi City 2,5G,99.62,136.32,100.21,16,0.86,101
AIR100003,2025-04-15,West Bengal,West Bengal City 3,5G,98.75,158.25,43.56,21.4,0.83,113
AIR100004,2025-05-15,Kerala,Kerala City 1,5G,98.76,147.46,68.12,15.9,0.68,56
AIR100005,2025-06-15,Telangana,Telangana City 2,4G,99.1,54.07,18.13,39,0.44,96
AIR100006,2025-07-15,Uttar Pradesh,Uttar Pradesh City 3,4G,98.65,47.18,8.87,46.7,0.72,82
AIR100007,2025-08-15,Maharashtra,Maharashtra City 3,4G,98.52,53.23,20.81,41.7,0.64,122
AIR100008,2025-09-15,Telangana,Telangana City 2,4G,96.27,53.42,12,34.4,1.19,73
AIR100009,2025-10-15,West Bengal,West Bengal City 3,4G,99.16,35.58,21.43,28.6,1.45,48
AIR100010,2025-11-15,Kerala,Kerala City 3,4G,98.58,40.6,6.69,33.3,0.64,118
AIR100011,2025-12-15,Delhi,Delhi City 1,4G,99.21,30.35,11.1,34.2,1.79,68
AIR100012,2025-02-15,West Bengal,West Bengal City 1,4G,97.25,38.42,19.74,53,1.39,133
AIR100013,2025-03-15,West Bengal,West Bengal City 1,4G,98.72,41.29,25.57,23.6,0.62,44
AIR100014,2025-04-15,Maharashtra,Maharashtra City 1,5G,99.58,124.08,83.77,28.8,0.47,52
AIR100015,2025-05-15,Gujarat,Gujarat City 1,4G,95.46,53.41,19.76,36.9,0.95,59
AIR100016,2025-06-15,Kerala,Kerala City 1,5G,99.99,150.61,30.63,12.8,0.37,75
AIR100017,2025-07-15,Karnataka,Karnataka City 2,4G,98.2,30.87,24.63,38,0.85,91
AIR100018,2025-08-15,West Bengal,West Bengal City 1,4G,97.43,73.36,22.15,47.9,1.08,66
AIR100019,2025-09-15,Gujarat,Gujarat City 3,4G,98.58,48.69,14.37,46.4,0.82,73
AIR100020,2025-10-15,Karnataka,Karnataka City 2,5G,99.35,238.97,31.55,9.2,0.56,74
AIR100021,2025-11-15,Kerala,Kerala City 3,4G,97.68,35.81,12.31,44.1,0.98,74
AIR100022,2025-12-15,Tamil Nadu,Tamil Nadu City 1,5G,99.4,66.51,62.97,5,0.79,49
AIR100023,2025-02-15,Uttar Pradesh,Uttar Pradesh City 1,4G,96.87,43.44,11.35,35.7,1.64,21
AIR100024,2025-03-15,Gujarat,Gujarat City 3,4G,98.55,46.99,29.13,61.3,1.07,82
AIR100025,2025-04-15,Rajasthan,Rajasthan City 3,5G,99.87,151.53,66.43,19.4,0.26,99
AIR100026,2025-05-15,Tamil Nadu,Tamil Nadu City 3,4G,98.1,29.72,12.66,39.7,1.14,82
AIR100027,2025-06-15,Uttar Pradesh,Uttar Pradesh City 2,5G,98.25,148.77,29.94,23.9,0.85,59
AIR100028,2025-07-15,Maharashtra,Maharashtra City 1,4G,98.79,49.09,26.05,44,0.66,28
AIR100029,2025-08-15,Telangana,Telangana City 3,4G,98.32,53.42,14.45,32.4,1.32,97
AIR100030,2025-09-15,Delhi,Delhi City 1,5G,99.37,135.55,87.01,13.6,0.51,60
AIR100031,2025-10-15,Rajasthan,Rajasthan City 3,5G,98.78,67.89,65.36,18.9,0.23,95
AIR100032,2025-11-15,Maharashtra,Maharashtra City 1,4G,98.94,47.26,19.04,58,1.35,5
AIR100033,2025-12-15,Kerala,Kerala City 2,5G,98.84,150.84,60.18,16.1,0.58,51
AIR100034,2025-02-15,Maharashtra,Maharashtra City 1,4G,98.96,55.12,25.68,15.5,1.13,104
AIR100035,2025-03-15,Telangana,Telangana City 3,5G,100,151.23,72.66,36,0.69,64
AIR100036,2025-04-15,Kerala,Kerala City 1,4G,98.74,50.91,8.64,43.4,1.31,115
AIR100037,2025-05-15,Rajasthan,Rajasthan City 2,4G,98.2,62.46,16.65,35.7,1.63,85
AIR100038,2025-06-15,Telangana,Telangana City 2,4G,98.1,43.23,26.38,45.6,1.47,36
AIR100039,2025-07-15,Karnataka,Karnataka City 1,4G,97.82,46.76,16.41,39.9,1.29,64
AIR100040,2025-08-15,Delhi,Delhi City 3,4G,98.47,44.21,21.67,28.9,2.22,46
AIR100041,2025-09-15,Rajasthan,Rajasthan City 2,4G,96.64,40.85,16.61,42,0.6,121
AIR100042,2025-10-15,Karnataka,Karnataka City 2,4G,98.47,29.05,25.18,34.3,0.48,100
AIR100043,2025-11-15,Uttar Pradesh,Uttar Pradesh City 1,5G,99.18,130.53,112.94,12,0.57,73
AIR100044,2025-12-15,Rajasthan,Rajasthan City 2,4G,99.05,53.42,25.08,48.3,1.61,50
AIR100045,2025-02-15,Uttar Pradesh,Uttar Pradesh City 2,4G,98.31,52.73,17.71,38.7,1.9,54
AIR100046,2025-03-15,Kerala,Kerala City 3,4G,99.3,44.15,23.41,33.8,0.99,58
AIR100047,2025-04-15,Karnataka,Karnataka City 3,5G,99.18,91.53,79.8,19.1,0.84,58
AIR100048,2025-05-15,Delhi,Delhi City 3,4G,97.79,23.61,21.81,51.3,1.51,80
AIR100049,2025-06-15,Telangana,Telangana City 1,4G,99.48,58.23,22.92,34,0.79,55
AIR100050,2025-07-15,West Bengal,West Bengal City 2,4G,97.74,20.82,25.94,42,1.29,79
AIR100051,2025-08-15,Maharashtra,Maharashtra City 1,4G,96.43,29.25,16.76,22.5,1.1,72
AIR100052,2025-09-15,Tamil Nadu,Tamil Nadu City 2,4G,99.49,45.05,17.33,44.4,0.96,85
AIR100053,2025-10-15,Delhi,Delhi City 2,4G,99.56,51.86,9.48,33.4,1.24,66
AIR100054,2025-11-15,Karnataka,Karnataka City 2,4G,98.07,62.92,24.81,41.6,0.42,89
AIR100055,2025-12-15,West Bengal,West Bengal City 3,4G,98.15,56.67,9.46,46.8,0.14,73
AIR100056,2025-02-15,Delhi,Delhi City 1,4G,97.8,53.7,2.47,28.2,1.21,108
AIR100057,2025-03-15,Karnataka,Karnataka City 1,4G,99.7,50.1,18.24,37.2,1.38,115
AIR100058,2025-04-15,Gujarat,Gujarat City 2,4G,99.43,12.19,14.56,35.9,1.14,80
AIR100059,2025-05-15,Gujarat,Gujarat City 1,5G,98.8,130.04,54.35,21,0.48,140
AIR100060,2025-06-15,Uttar Pradesh,Uttar Pradesh City 3,5G,98.92,159.64,54.72,23,1.04,63
AIR100061,2025-07-15,Delhi,Delhi City 1,4G,99.64,26.93,5.86,38,0.9,50
AIR100062,2025-08-15,Gujarat,Gujarat City 2,4G,99.85,47.3,23.56,47.8,1.03,44
AIR100063,2025-09-15,Karnataka,Karnataka City 3,4G,98.54,26.18,11.63,34.2,1.18,99
AIR100064,2025-10-15,Uttar Pradesh,Uttar Pradesh City 3,4G,98.66,54.27,19.94,40.7,1.04,83
AIR100065,2025-11-15,Karnataka,Karnataka City 2,4G,98.25,33.59,29.71,10.9,0.7,145
AIR100066,2025-12-15,Uttar Pradesh,Uttar Pradesh City 1,4G,97.82,73.52,16.59,34.6,1.42,64
AIR100067,2025-02-15,Delhi,Delhi City 2,5G,99.35,147.62,60.15,17.8,0.73,63
AIR100068,2025-03-15,West Bengal,West Bengal City 1,5G,99.85,160.12,84.55,15.3,0.78,69
AIR100069,2025-04-15,Telangana,Telangana City 1,4G,97.6,45.39,15.87,39.8,1.17,127
AIR100070,2025-05-15,Rajasthan,Rajasthan City 3,4G,98.48,54.5,16.93,25.6,0.81,95
AIR100071,2025-06-15,West Bengal,West Bengal City 2,5G,99.42,179.17,108.76,22.1,0.7,51
AIR100072,2025-07-15,Kerala,Kerala City 3,5G,99.46,154.35,57.13,23,0.98,134
AIR100073,2025-08-15,Karnataka,Karnataka City 2,5G,98.01,98.84,67.52,24.7,0.71,118
AIR100074,2025-09-15,Kerala,Kerala City 2,4G,98.18,54.45,21.3,49.7,1.26,50
AIR100075,2025-10-15,West Bengal,West Bengal City 3,4G,97.97,38.73,20.7,55.2,1.21,145
AIR100076,2025-11-15,Uttar Pradesh,Uttar Pradesh City 2,4G,99.43,26.32,29.09,30.2,1.06,111
AIR100077,2025-12-15,Rajasthan,Rajasthan City 2,4G,97.99,43.7,26.25,31.9,0.77,70
AIR100078,2025-02-15,Rajasthan,Rajasthan City 1,4G,97.6,40.33,18.34,46.1,1.1,24
AIR100079,2025-03-15,Tamil Nadu,Tamil Nadu City 2,4G,98.87,47.94,9.77,37.9,0.58,86
AIR100080,2025-04-15,Rajasthan,Rajasthan City 2,5G,98.71,140.61,71.88,21.4,1.02,63
AIR100081,2025-05-15,Telangana,Telangana City 3,5G,99.47,155.03,76.08,21.6,0.8,123
AIR100082,2025-06-15,Rajasthan,Rajasthan City 3,4G,98.88,51.1,16.57,27.5,1.16,40
AIR100083,2025-07-15,West Bengal,West Bengal City 2,5G,99.42,137.68,82.37,20.6,0.63,100
AIR100084,2025-08-15,Tamil Nadu,Tamil Nadu City 1,4G,98.07,24.68,10.55,42.3,0.9,132
AIR100085,2025-09-15,West Bengal,West Bengal City 1,5G,98.69,165.38,78.86,13.5,0.61,47
AIR100086,2025-10-15,West Bengal,West Bengal City 3,4G,99,47.09,13.25,53.2,1.5,6
AIR100087,2025-11-15,Maharashtra,Maharashtra City 2,4G,99.46,34.48,16.51,31.5,1.03,61
AIR100088,2025-12-15,Tamil Nadu,Tamil Nadu City 2,4G,100,50.34,23.02,27.2,0.73,76
AIR100089,2025-02-15,West Bengal,West Bengal City 1,4G,98.86,45.26,7.57,30.1,0.8,65
AIR100090,2025-03-15,Maharashtra,Maharashtra City 1,4G,99.73,42.94,22.01,19.9,0.88,83
AIR100091,2025-04-15,Maharashtra,Maharashtra City 1,4G,97.8,36.82,17.72,45.4,1.5,146
AIR100092,2025-05-15,Tamil Nadu,Tamil Nadu City 3,5G,99.03,213.76,85.53,16,0.68,79
AIR100093,2025-06-15,Kerala,Kerala City 2,4G,97.36,57.84,15.51,43.3,1.04,46
AIR100094,2025-07-15,Uttar Pradesh,Uttar Pradesh City 3,4G,98.32,61.47,19.38,32.6,0.94,93
AIR100095,2025-08-15,Telangana,Telangana City 2,4G,98.04,35.26,23.29,22.9,1.69,90
AIR100096,2025-09-15,Uttar Pradesh,Uttar Pradesh City 3,4G,99.66,42.9,16.68,61.2,1.49,67
AIR100097,2025-10-15,Rajasthan,Rajasthan City 2,4G,97.99,33.53,20.76,29.9,0.9,53
AIR100098,2025-11-15,Telangana,Telangana City 1,5G,99.33,67.47,82.28,14.8,0.3,89
AIR100099,2025-12-15,Rajasthan,Rajasthan City 1,4G,98.98,48.09,17.17,37.9,1.3,95
AIR100100,2025-02-15,West Bengal,West Bengal City 1,4G,99.2,45.78,9.85,52.1,0.74,78
AIR100101,2025-03-15,Karnataka,Karnataka City 3,5G,99.62,176.91,100.73,19.7,0.59,11
AIR100102,2025-04-15,Tamil Nadu,Tamil Nadu City 1,4G,98.93,59.65,29.15,27.1,1.12,45
AIR100103,2025-05-15,Telangana,Telangana City 2,4G,98.94,39.21,19.94,29,0.98,97
AIR100104,2025-06-15,Telangana,Telangana City 3,5G,99.06,114.11,51.06,17.3,0.84,43
AIR100105,2025-07-15,West Bengal,West Bengal City 2,4G,96.82,34.88,15.61,35.6,1.07,27
AIR100106,2025-08-15,Kerala,Kerala City 3,4G,97.8,57.68,14.5,38.5,1.34,71
AIR100107,2025-09-15,Maharashtra,Maharashtra City 2,5G,99.4,141.39,45.8,16,0.05,74
AIR100108,2025-10-15,West Bengal,West Bengal City 2,4G,98.25,44.42,14.4,46.7,0.89,74
AIR100109,2025-11-15,Gujarat,Gujarat City 3,4G,98.9,44.18,24.13,44.6,1.08,24
AIR100110,2025-12-15,Maharashtra,Maharashtra City 3,5G,98.97,152.01,73.33,24.5,0.89,5
AIR100111,2025-02-15,Tamil Nadu,Tamil Nadu City 1,4G,97.7,57.01,7.69,40.9,1.13,65
AIR100112,2025-03-15,Maharashtra,Maharashtra City 1,4G,96.81,55.99,20.7,43,1.3,64
AIR100113,2025-04-15,Kerala,Kerala City 2,5G,99.38,152.35,45.87,16.5,1.16,67
AIR100114,2025-05-15,Maharashtra,Maharashtra City 2,5G,99.3,169.81,39.59,23.8,0.38,130
AIR100115,2025-06-15,Tamil Nadu,Tamil Nadu City 2,4G,98.5,59.32,20.29,39.5,1.52,70
AIR100116,2025-07-15,Kerala,Kerala City 3,4G,99.31,34.23,23.17,37,0.92,103
AIR100117,2025-08-15,Uttar Pradesh,Uttar Pradesh City 3,5G,98.96,101.7,72.95,21.9,0.67,67
AIR100118,2025-09-15,Telangana,Telangana City 1,5G,99.36,148.07,66.12,20.8,0.62,78
AIR100119,2025-10-15,Telangana,Telangana City 2,4G,97.89,53.77,23.93,34.5,0.79,14
AIR100120,2025-11-15,Rajasthan,Rajasthan City 1,4G,97.3,64.34,21.16,45.4,0.96,32
AIR100121,2025-12-15,Uttar Pradesh,Uttar Pradesh City 3,4G,98.14,37.63,18.3,40.5,1.43,151
AIR100122,2025-02-15,Uttar Pradesh,Uttar Pradesh City 3,5G,99.69,149.35,60.44,27.6,0.36,63
AIR100123,2025-03-15,Maharashtra,Maharashtra City 3,5G,99.73,156.83,76.22,14.3,0.32,69
