Customer_ID,Usage_Date,State,City,Network_Type,Customer_Segment,Tenure_Years,Data_Usage_GB,Voice_Usage_Min,Customer_Satisfaction,NPS_Score
AIR100001,2025-02-15,Telangana,Telangana City 3,4G,Prepaid,5.8,1,20,3.71,33
AIR100002,2025-03-15,Delhi,Delhi City 2,5G,Prepaid,5.8,46.89,335,3.56,28
AIR100003,2025-04-15,West Bengal,West Bengal City 3,5G,Postpaid,4.2,13.34,748,3.49,25
AIR100004,2025-05-15,Kerala,Kerala City 1,5G,Enterprise,5.4,52.53,339,4.4,47
AIR100005,2025-06-15,Telangana,Telangana City 2,4G,Postpaid,1.4,10.33,159,3.31,-17
AIR100006,2025-07-15,Uttar Pradesh,Uttar Pradesh City 3,4G,Broadband,1.8,8.2,200,3.99,54
AIR100007,2025-08-15,Maharashtra,Maharashtra City 3,4G,Prepaid,6.4,27.6,398,2.95,18
AIR100008,2025-09-15,Telangana,Telangana City 2,4G,Prepaid,3.1,22.5,268,3.26,16
AIR100009,2025-10-15,West Bengal,West Bengal City 3,4G,Postpaid,1.6,18.31,301,3.93,42
AIR100010,2025-11-15,Kerala,Kerala City 3,4G,Postpaid,2.7,11.91,587,3.51,16
AIR100011,2025-12-15,Delhi,Delhi City 1,4G,Prepaid,2.4,6.3,237,2.95,-24
AIR100012,2025-02-15,West Bengal,West Bengal City 1,4G,Broadband,0.3,28.6,355,3.66,21
AIR100013,2025-03-15,West Bengal,West Bengal City 1,4G,Prepaid,1.8,29.75,581,3.51,23
AIR100014,2025-04-15,Maharashtra,Maharashtra City 1,5G,Prepaid,5.9,49.8,408,4.13,18
AIR100015,2025-05-15,Gujarat,Gujarat City 1,4G,Postpaid,4.4,13.98,129,2.86,-16
AIR100016,2025-06-15,Kerala,Kerala City 1,5G,Postpaid,0.8,55.41,316,3.82,23
AIR100017,2025-07-15,Karnataka,Karnataka City 2,4G,Prepaid,6.3,17.16,688,3.27,-1
AIR100018,2025-08-15,West Bengal,West Bengal City 1,4G,Prepaid,4.5,6.55,247,3.4,8
AIR100019,2025-09-15,Gujarat,Gujarat City 3,4G,Postpaid,3.8,11.08,174,3.38,11
AIR100020,2025-10-15,Karnataka,Karnataka City 2,5G,Postpaid,5,47.93,568,3.56,5
AIR100021,2025-11-15,Kerala,Kerala City 3,4G,Postpaid,2.1,26.85,195,3.59,7
AIR100022,2025-12-15,Tamil Nadu,Tamil Nadu City 1,5G,Postpaid,2.3,21.24,574,3.64,26
AIR100023,2025-02-15,Uttar Pradesh,Uttar Pradesh City 1,4G,Prepaid,4.7,21.78,347,3.51,25
AIR100024,2025-03-15,Gujarat,Gujarat City 3,4G,Enterprise,5.8,17.24,528,2.64,-7
AIR100025,2025-04-15,Rajasthan,Rajasthan City 3,5G,Broadband,5.1,34.81,433,3.93,24
AIR100026,2025-05-15,Tamil Nadu,Tamil Nadu City 3,4G,Prepaid,2.9,19.6,516,3.3,8
AIR100027,2025-06-15,Uttar Pradesh,Uttar Pradesh City 2,5G,Prepaid,3.9,30.45,539,3.62,25
AIR100028,2025-07-15,Maharashtra,Maharashtra City 1,4G,Prepaid,0.7,27.93,608,3.31,-5
AIR100029,2025-08-15,Telangana,Telangana City 3,4G,Postpaid,5.1,20.86,444,3.16,13
AIR100030,2025-09-15,Delhi,Delhi City 1,5G,Broadband,4.4,1,532,4.22,45
AIR100031,2025-10-15,Rajasthan,Rajasthan City 3,5G,Postpaid,3.1,51.13,527,4.19,32
AIR100032,2025-11-15,Maharashtra,Maharashtra City 1,4G,Broadband,1.5,14.59,427,3.16,-3
AIR100033,2025-12-15,Kerala,Kerala City 2,5G,Prepaid,3.2,42.47,476,4.19,40
AIR100034,2025-02-15,Maharashtra,Maharashtra City 1,4G,Postpaid,0.8,10.13,479,3.46,5
AIR100035,2025-03-15,Telangana,Telangana City 3,5G,Prepaid,4.6,22.94,651,4.05,54
AIR100036,2025-04-15,Kerala,Kerala City 1,4G,Prepaid,4.9,20.79,576,3.7,13
AIR100037,2025-05-15,Rajasthan,Rajasthan City 2,4G,Postpaid,2.2,28.35,227,3.14,12
AIR100038,2025-06-15,Telangana,Telangana City 2,4G,Prepaid,2,21.72,141,2.87,7
AIR100039,2025-07-15,Karnataka,Karnataka City 1,4G,Postpaid,3.4,23.11,493,3.84,12
AIR100040,2025-08-15,Delhi,Delhi City 3,4G,Postpaid,1.5,26.46,218,3,0
AIR100041,2025-09-15,Rajasthan,Rajasthan City 2,4G,Broadband,5.6,4.77,565,3.43,19
AIR100042,2025-10-15,Karnataka,Karnataka City 2,4G,Prepaid,5.7,17.81,460,4.08,30
AIR100043,2025-11-15,Uttar Pradesh,Uttar Pradesh City 1,5G,Postpaid,4.4,58.09,225,3.35,8
AIR100044,2025-12-15,Rajasthan,Rajasthan City 2,4G,Enterprise,2.6,26.34,773,3.11,-4
AIR100045,2025-02-15,Uttar Pradesh,Uttar Pradesh City 2,4G,Broadband,5.3,28.57,312,3.42,28
AIR100046,2025-03-15,Kerala,Kerala City 3,4G,Postpaid,0.6,10.8,470,3.74,30
AIR100047,2025-04-15,Karnataka,Karnataka City 3,5G,Postpaid,1.9,46.75,475,3.14,13
AIR100048,2025-05-15,Delhi,Delhi City 3,4G,Prepaid,1.7,9.36,305,3.3,20
AIR100049,2025-06-15,Telangana,Telangana City 1,4G,Postpaid,5.9,18.63,484,3.8,27
AIR100050,2025-07-15,West Bengal,West Bengal City 2,4G,Postpaid,6.2,1,192,3.44,-2
AIR100051,2025-08-15,Maharashtra,Maharashtra City 1,4G,Postpaid,6.4,17.16,468,3.38,22
AIR100052,2025-09-15,Tamil Nadu,Tamil Nadu City 2,4G,Postpaid,2.3,10.58,323,3.82,6
AIR100053,2025-10-15,Delhi,Delhi City 2,4G,Prepaid,4.7,23.96,284,3.5,10
AIR100054,2025-11-15,Karnataka,Karnataka City 2,4G,Prepaid,6.5,18.04,508,3.52,7
AIR100055,2025-12-15,West Bengal,West Bengal City 3,4G,Postpaid,6.4,17.3,575,3.46,22
AIR100056,2025-02-15,Delhi,Delhi City 1,4G,Prepaid,3.8,10.89,257,2.82,-9
AIR100057,2025-03-15,Karnataka,Karnataka City 1,4G,Prepaid,3.6,14.48,204,4.32,55
AIR100058,2025-04-15,Gujarat,Gujarat City 2,4G,Prepaid,2.3,8.24,614,3.64,29
AIR100059,2025-05-15,Gujarat,Gujarat City 1,5G,Prepaid,2,43.02,124,4.32,56
AIR100060,2025-06-15,Uttar Pradesh,Uttar Pradesh City 3,5G,Broadband,2.8,36.13,292,3.2,8
AIR100061,2025-07-15,Delhi,Delhi City 1,4G,Postpaid,3,33.79,314,3.6,22
AIR100062,2025-08-15,Gujarat,Gujarat City 2,4G,Prepaid,6.1,28.91,362,3.79,29
AIR100063,2025-09-15,Karnataka,Karnataka City 3,4G,Postpaid,1.5,13.55,516,3.37,5
AIR100064,2025-10-15,Uttar Pradesh,Uttar Pradesh City 3,4G,Prepaid,3.6,16.99,390,3.13,-17
AIR100065,2025-11-15,Karnataka,Karnataka City 2,4G,Postpaid,3.1,15.63,686,4.02,43
AIR100066,2025-12-15,Uttar Pradesh,Uttar Pradesh City 1,4G,Prepaid,1.4,13.35,583,3.1,8
AIR100067,2025-02-15,Delhi,Delhi City 2,5G,Broadband,4.8,29.47,645,4.22,56
AIR100068,2025-03-15,West Bengal,West Bengal City 1,5G,Prepaid,1.1,11.12,524,3.71,15
AIR100069,2025-04-15,Telangana,Telangana City 1,4G,Postpaid,0.9,16.63,455,2.87,-8
AIR100070,2025-05-15,Rajasthan,Rajasthan City 3,4G,Broadband,5.2,20.11,397,3.64,22
AIR100071,2025-06-15,West Bengal,West Bengal City 2,5G,Enterprise,4.1,44.63,312,3.66,24
AIR100072,2025-07-15,Kerala,Kerala City 3,5G,Prepaid,1.5,45.2,555,4.03,12
AIR100073,2025-08-15,Karnataka,Karnataka City 2,5G,Postpaid,0.7,19.95,512,3.23,-2
AIR100074,2025-09-15,Kerala,Kerala City 2,4G,Prepaid,4.9,10.17,342,3.9,31
AIR100075,2025-10-15,West Bengal,West Bengal City 3,4G,Postpaid,1.6,27.45,488,2.97,-2
AIR100076,2025-11-15,Uttar Pradesh,Uttar Pradesh City 2,4G,Prepaid,3.1,28.71,426,4.41,51
AIR100077,2025-12-15,Rajasthan,Rajasthan City 2,4G,Broadband,6.3,24.18,138,4.01,22
AIR100078,2025-02-15,Rajasthan,Rajasthan City 1,4G,Prepaid,3.4,19.33,365,3.57,20
AIR100079,2025-03-15,Tamil Nadu,Tamil Nadu City 2,4G,Postpaid,2.4,32.31,341,3.56,22
AIR100080,2025-04-15,Rajasthan,Rajasthan City 2,5G,Postpaid,4.1,48.18,358,3.1,4
AIR100081,2025-05-15,Telangana,Telangana City 3,5G,Enterprise,2.8,34.64,204,3.89,24
AIR100082,2025-06-15,Rajasthan,Rajasthan City 3,4G,Postpaid,1.8,21.02,176,3.34,0
AIR100083,2025-07-15,West Bengal,West Bengal City 2,5G,Prepaid,2.3,33.84,315,3.74,22
AIR100084,2025-08-15,Tamil Nadu,Tamil Nadu City 1,4G,Prepaid,2.1,33.72,304,3.02,14
AIR100085,2025-09-15,West Bengal,West Bengal City 1,5G,Prepaid,1.7,27.74,441,3.83,26
AIR100086,2025-10-15,West Bengal,West Bengal City 3,4G,Postpaid,2.7,14.59,369,3.4,25
AIR100087,2025-11-15,Maharashtra,Maharashtra City 2,4G,Postpaid,2.1,13.13,323,3.59,20
AIR100088,2025-12-15,Tamil Nadu,Tamil Nadu City 2,4G,Postpaid,3.3,19.71,718,3.86,24
AIR100089,2025-02-15,West Bengal,West Bengal City 1,4G,Prepaid,2.7,27.37,427,3.48,26
AIR100090,2025-03-15,Maharashtra,Maharashtra City 1,4G,Postpaid,4.5,29.33,259,3.47,33
AIR100091,2025-04-15,Maharashtra,Maharashtra City 1,4G,Postpaid,2.6,17.72,416,3.44,33
AIR100092,2025-05-15,Tamil Nadu,Tamil Nadu City 3,5G,Enterprise,5.7,14.76,498,3.61,30
AIR100093,2025-06-15,Kerala,Kerala City 2,4G,Postpaid,5.5,6.45,420,3.24,-6
