Customer_ID,Join_Date,State,City,Network_Type,Customer_Segment,Tenure_Years
AIR100001,2019-04-13,Telangana,Telangana City 3,4G,Prepaid,5.8
AIR100002,2019-05-25,Delhi,Delhi City 2,5G,Prepaid,5.8
AIR100003,2021-01-24,West Bengal,West Bengal City 3,5G,Postpaid,4.2
AIR100004,2020-01-01,Kerala,Kerala City 1,5G,Enterprise,5.4
AIR100005,2024-01-05,Telangana,Telangana City 2,4G,Postpaid,1.4
AIR100006,2023-09-24,Uttar Pradesh,Uttar Pradesh City 3,4G,Broadband,1.8
AIR100007,2019-03-24,Maharashtra,Maharashtra City 3,4G,Prepaid,6.4
AIR100008,2022-08-04,Telangana,Telangana City 2,4G,Prepaid,3.1
AIR100009,2024-03-09,West Bengal,West Bengal City 3,4G,Postpaid,1.6
AIR100010,2023-02-21,Kerala,Kerala City 3,4G,Postpaid,2.7
AIR100011,2023-07-15,Delhi,Delhi City 1,4G,Prepaid,2.4
AIR100012,2024-10-27,West Bengal,West Bengal City 1,4G,Broadband,0.3
AIR100013,2023-06-04,West Bengal,West Bengal City 1,4G,Prepaid,1.8
AIR100014,2019-05-31,Maharashtra,Maharashtra City 1,5G,Prepaid,5.9
AIR100015,2020-12-30,Gujarat,Gujarat City 1,4G,Postpaid,4.4
AIR100016,2024-08-24,Kerala,Kerala City 1,5G,Postpaid,0.8
AIR100017,2019-04-11,Karnataka,Karnataka City 2,4G,Prepaid,6.3
AIR100018,2021-02-18,West Bengal,West Bengal City 1,4G,Prepaid,4.5
AIR100019,2021-11-24,Gujarat,Gujarat City 3,4G,Postpaid,3.8
AIR100020,2020-09-28,Karnataka,Karnataka City 2,5G,Postpaid,5
AIR100021,2023-10-26,Kerala,Kerala City 3,4G,Postpaid,2.1
AIR100022,2023-08-24,Tamil Nadu,Tamil Nadu City 1,5G,Postpaid,2.3
AIR100023,2020-06-08,Uttar Pradesh,Uttar Pradesh City 1,4G,Prepaid,4.7
AIR100024,2019-06-14,Gujarat,Gujarat City 3,4G,Enterprise,5.8
AIR100025,2020-03-03,Rajasthan,Rajasthan City 3,5G,Broadband,5.1
AIR100026,2022-07-05,Tamil Nadu,Tamil Nadu City 3,4G,Prepaid,2.9
AIR100027,2021-07-22,Uttar Pradesh,Uttar Pradesh City 2,5G,Prepaid,3.9
AIR100028,2024-10-17,Maharashtra,Maharashtra City 1,4G,Prepaid,0.7
AIR100029,2020-07-13,Telangana,Telangana City 3,4G,Postpaid,5.1
AIR100030,2021-04-28,Delhi,Delhi City 1,5G,Broadband,4.4
AIR100031,2022-09-07,Rajasthan,Rajasthan City 3,5G,Postpaid,3.1
AIR100032,2024-05-22,Maharashtra,Maharashtra City 1,4G,Broadband,1.5
AIR100033,2022-10-17,Kerala,Kerala City 2,5G,Prepaid,3.2
AIR100034,2024-05-08,Maharashtra,Maharashtra City 1,4G,Postpaid,0.8
AIR100035,2020-08-12,Telangana,Telangana City 3,5G,Prepaid,4.6
AIR100036,2020-05-13,Kerala,Kerala City 1,4G,Prepaid,4.9
AIR100037,2023-03-10,Rajasthan,Rajasthan City 2,4G,Postpaid,2.2
AIR100038,2023-06-27,Telangana,Telangana City 2,4G,Prepaid,2
AIR100039,2022-02-06,Karnataka,Karnataka City 1,4G,Postpaid,3.4
AIR100040,2024-02-04,Delhi,Delhi City 3,4G,Postpaid,1.5
AIR100041,2020-01-23,Rajasthan,Rajasthan City 2,4G,Broadband,5.6
AIR100042,2020-02-20,Karnataka,Karnataka City 2,4G,Prepaid,5.7
AIR100043,2021-06-19,Uttar Pradesh,Uttar Pradesh City 1,5G,Postpaid,4.4
AIR100044,2023-05-11,Rajasthan,Rajasthan City 2,4G,Enterprise,2.6
AIR100045,2019-11-08,Uttar Pradesh,Uttar Pradesh City 2,4G,Broadband,5.3
AIR100046,2024-07-28,Kerala,Kerala City 3,4G,Postpaid,0.6
AIR100047,2023-05-27,Karnataka,Karnataka City 3,5G,Postpaid,1.9
AIR100048,2023-09-12,Delhi,Delhi City 3,4G,Prepaid,1.7
AIR100049,2019-07-22,Telangana,Telangana City 1,4G,Postpaid,5.9
AIR100050,2019-04-20,West Bengal,West Bengal City 2,4G,Postpaid,6.2
AIR100051,2019-03-23,Maharashtra,Maharashtra City 1,4G,Postpaid,6.4
AIR100052,2023-06-08,Tamil Nadu,Tamil Nadu City 2,4G,Postpaid,2.3
AIR100053,2021-02-07,Delhi,Delhi City 2,4G,Prepaid,4.7
AIR100054,2019-05-19,Karnataka,Karnataka City 2,4G,Prepaid,6.5
AIR100055,2019-08-09,West Bengal,West Bengal City 3,4G,Postpaid,6.4
AIR100056,2021-05-10,Delhi,Delhi City 1,4G,Prepaid,3.8
AIR100057,2021-08-16,Karnataka,Karnataka City 1,4G,Prepaid,3.6
